icp_rank,company,location,phone,email,website,service_lines,adjacent_service_lines,estimated_size_signal,icp_score,evidence_tier,score_service_fit,score_complexity,score_scale,score_data_confidence,source,source_url,evidence_urls
50,Rocking H Dumpsters,"College Station, TX",979-398-2755,rhdumpsters@gmail.com,https://rockinghdumpsters.com/,roll-off | recycling,construction & demolition,Not verified,79,High,40,16,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.rockinghdumpsters.com/ | https://www.rockinghdumpsters.com/category/dumpsters/ | https://www.rockinghdumpsters.com/dumpster-rental-bremond-tx/ | https://www.rockinghdumpsters.com/dumpster-rental-bryan-tx/ | https://www.rockinghdumpsters.com/dumpster-rental-calvert-tx/
51,Safety Kleen Systems Inc.,"Denton, TX",781-792-5000,supplierdiversity@cleanharbors.com,https://www.safety-kleen.com/,commercial | recycling,construction & demolition,Not verified,79,High,40,16,5,18,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,https://www.safety-kleen.com/ | https://www.safety-kleen.com/about-us/vendor-resources | https://www.safety-kleen.com/services | https://www.safety-kleen.com/services/compliance-services | https://www.safety-kleen.com/services/compliance-services/compliance-training
52,United Site Solutions,"College Station, TX",979-777-4711,office@unitedsitesolutions.com,https://www.unitedsitesolutions.co/,residential | commercial,construction & demolition,Not verified,79,High,40,16,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.unitedsitesolutions.co/ | https://www.unitedsitesolutions.co/services/concrete-driveways | https://www.unitedsitesolutions.co/services/concrete-patios | https://www.unitedsitesolutions.co/services/concrete-slabs | https://www.unitedsitesolutions.co/services/foundations
53,Williamson Waste Services LLC dba Redbox ofSouthwest Houston and Galveston County,"Houston, TX",Not verified,info@redboxplus.com,https://www.redboxplus.com/,roll-off | residential | commercial | recycling,portable toilet | construction & demolition,Not verified,79,Medium,40,20,5,14,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.redboxplus.com/ | https://www.redboxplus.com/about/about-our-dumpsters-service/ | https://www.redboxplus.com/about/best-dumpster-rental/ | https://www.redboxplus.com/about/dumpster-rental-blog/ | https://www.redboxplus.com/dumpster-rental-faqs/
54,Liquid Environmental Solutions,"Denton, TX",817-675-2259,customerservice@liquidenviro.com,https://www.liquidenviro.com,recycling,Not verified,1020 Employees,77,High,35,7,20,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
55,"Central Texas Refuse, Inc.","Austin, TX",844-737-8254,Not verified,http://www.centraltexasrefuse.com/,roll-off | residential | recycling,Not verified,Not verified,76,Medium,40,16,5,15,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://www.republicservices.com | https://www.republicservices.com/customer-support/residential-service-terms | https://www.republicservices.com/environmental-service-terms-conditions | https://www.republicservices.com/service-alerts | https://www.republicservices.com/residents
56,Geomet Recycling,"Plano, TX",972-805-1436,Not verified,https://geometrecycle.com/,residential | commercial | recycling,Not verified,Not verified,76,Medium,40,16,5,15,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,https://geometrecycle.com/ | https://geometrecycle.com/dallas-metal-recycling-center/ | https://geometrecycle.com/about/ | https://geometrecycle.com/about/community-involvement/ | https://geometrecycle.com/contact/
57,Republic Waste Services / Allied Waste / Duncan Disposal,"Garland, TX",972-422-2341,Not verified,https://www.republicservices.com/,roll-off | residential | recycling,Not verified,Not verified,76,Medium,40,16,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.republicservices.com/ | https://www.republicservices.com/customer-support/residential-service-terms | https://www.republicservices.com/environmental-service-terms-conditions | https://www.republicservices.com/service-alerts | https://www.republicservices.com/residents
58,GFL Environmental,"Austin, TX",Not verified,Not verified,https://gflenv.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,76,Medium,40,20,5,11,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://gflenv.com/ | https://gflenv.com/our-services/ | https://gflenv.com/our-services/for-business/ | https://gesi.gflenv.com/en/services/other-services/commercial-hazardous-waste | https://gesi.gflenv.com/en/services/field-industrial-services
59,"Organics ""By Gosh""","Austin, TX",Not verified,Not verified,http://www.organicsbygosh.com/,residential | commercial | recycling,construction & demolition,Not verified,76,Medium,40,20,5,11,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://www.organicsbygosh.com/ | https://www.organicsbygosh.com/brush-wood-recycling | https://www.organicsbygosh.com/commercial-landscaping | https://www.organicsbygosh.com/organics-recycling | https://www.organicsbygosh.com/about-obg
60,Sprint Waste Services,"Houston, TX",Not verified,Not verified,https://gflenv.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,76,Medium,40,20,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://gflenv.com/ | https://gflenv.com/our-services/ | https://gflenv.com/our-services/for-business/ | https://gesi.gflenv.com/en/services/other-services/commercial-hazardous-waste | https://gesi.gflenv.com/en/services/field-industrial-services
61,Waste Corporation of Texas LP,"Houston, TX",Not verified,Not verified,https://gflenv.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,76,Medium,40,20,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://gflenv.com/ | https://gflenv.com/our-services/ | https://gflenv.com/our-services/for-business/ | https://gesi.gflenv.com/en/services/other-services/commercial-hazardous-waste | https://gesi.gflenv.com/en/services/field-industrial-services
62,"Crystal Clean, LLC","Denton, TX",847-836-5670,vpyportal@crystal-clean.com,https://www.crystal-clean.com/,commercial | recycling,Not verified,Not verified,75,High,40,12,5,18,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,https://www.crystal-clean.com/ | https://www.crystal-clean.com/car-wash-waste-services/ | https://www.crystal-clean.com/industrial-services/ | https://www.crystal-clean.com/managing-antifreeze-waste-across-service-bays-guide/ | https://www.crystal-clean.com/renewable-solution/hazardous-waste-landfill-services/
63,GreenThumb Compost LLC,"Austin, TX",512-369-0998,info@greenthumbcompost.com,http://greenthumbcompost.com/,commercial | recycling,Not verified,Not verified,75,High,40,12,5,18,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://www.greenthumbcompost.com/
64,TAYS Waste and Recycling LLC,"Houston, TX",210-648-1427,austin@jjswaste.com,https://jjswaste.com,roll-off; residential; commercial; recycling,portable toilet,800 vehicles,72,High,30,7,20,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
65,Houston Waste Solutions,"Houston, TX",877-642-3702,info@fccenvironmental.com,https://fccenvironmental.com,residential; commercial; recycling,Not verified,200+ vehicles,68,High,30,3,20,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
66,Premier Waste Services LLC Moore Waste & Recycling Services-FCC,"Garland, TX",214-634-1831,info@fccenvironmental.com,https://fccenvironmental.com,residential; commercial; recycling,Not verified,200+ vehicles,68,High,30,3,20,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
67,Eco Waste & Recycling LLC,"Houston, TX",Not verified,Not verified,https://www.ecowasteandrecycling.org/,residential | recycling,Not verified,Not verified,68,Medium,40,12,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.ecowasteandrecycling.org/ | https://www.ecowasteandrecycling.org/category/recycling/ | https://www.ecowasteandrecycling.org/how-to-recycle-old-electric-appliances-and-devices-creative-tips/ | https://www.ecowasteandrecycling.org/about-me/ | https://www.ecowasteandrecycling.org/contact-us/
68,Consolidated waste dab Liquid Waste Solutions,"Houston, TX",866-413-9494,info@southwaste.com,https://southwaste.com,commercial; recycling,septic,operate 14,66,High,30,7,14,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
69,South Waste Disposal,"Houston, TX",866-413-9494,info@southwaste.com,https://southwaste.com,commercial; recycling,septic,operate 14,66,High,30,7,14,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
70,Southwaste,"Denton, TX",972-406-1215,info@southwaste.com,https://southwaste.com,commercial; recycling,septic,operate 14,66,High,30,7,14,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
71,Howdy Disposal,"College Station, TX",877-894-6939,info@howdyenterprise.com,https://howdyenterprise.com/,roll-off,Not verified,Not verified,65,High,35,7,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://howdyenterprise.com/ | https://howdyenterprise.com/howdy-field-services/
72,R&R- Firefighter Dumpster,"Weatherford, TX",817-487-1980,rrdumpsters@gmail.com,https://firefighterdumpstersofparkerco.com/,roll-off,Not verified,Not verified,65,High,35,7,5,18,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://firefighterdumpstersofparkerco.com/ | https://firefighterdumpstersofparkerco.com/contact/
73,Global Waste Services,"Houston, TX",Not verified,support@dumpstersidekick.com,https://dumpstersidekick.com,roll-off,portable toilet,Not verified,63,Medium,35,12,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
74,Liberty Tires Recycling DBA All American Tire Recyclers,"Denton, TX",817-779-4360,anna@aatr.biz,https://www.allamericantirerecycling.com,recycling,Not verified,Not verified,62,High,35,7,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
75,Smurfit Kappa North America,"Plano, TX",972-494-4059,Not verified,https://www.smurfitkappa.com,recycling,Not verified,000 employees,62,High,35,7,8,12,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
76,Hippo waste systems,"Houston, TX",281-219-3433,Not verified,https://www.hippowaste.com/,recycling,Not verified,Not verified,62,Medium,35,7,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.hippowaste.com/ | https://www.hippowaste.com/services | https://www.hippowaste.com/recycling | https://www.hippowaste.com/about_us | https://www.hippowaste.com/contact_us
77,Shapiro Metals,"Denton, TX",636-699-5030,Not verified,https://shapirometals.com/,recycling,Not verified,Not verified,62,Medium,35,7,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,https://shapirometals.com/ | https://shapirometals.com/sustainability-solutions/industrial-recycling | https://shapirometals.com/sustainability-solutions/closed-loop-recycling | https://shapirometals.com/about
78,Smurfit Kappa,"Mesquite, TX",972-494-4059,Not verified,https://www.smurfitkappa.com/,recycling,Not verified,Not verified,62,Medium,35,7,5,15,City of Mesquite — Permitted Recycling Haulers,https://www.cityofmesquite.com/2080/Permitted-Recycling-Haulers,https://www.smurfitkappa.com/ | https://www.smurfitkappa.com/products-and-services | https://www.smurfitkappa.com/products-and-services/bag-in-box | https://www.smurfitkappa.com/products-and-services/containerboard | https://www.smurfitkappa.com/products-and-services/displays
79,Marathon Waste Services LLC,"Houston, TX",Not verified,Not verified,https://loadwrap.com,commercial solid waste franchise; reverify current status,Not verified,operate 512,61,Medium,30,3,20,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
80,Cleburne Metal Works LLC d/b/a Cleburn Sheet Metal,"Plano, TX",817-237-5060,Not verified,https://envlogs.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,
81,Conex Recycling Corporation,"Plano, TX",866-879-2663,Not verified,http://www.conexrecycling.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
82,Environmental Oil Recovery Inc,"Denton, TX",903-660-3177,Not verified,http://environmentaloilrecovery.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
83,Maroon Dumpsters,"College Station, TX",979-595-6446,Not verified,https://maroondumpsters1.gosite.com,roll-off,Not verified,Not verified,59,Medium,35,7,5,12,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,
84,Rapid Waste Solutions of Texas LLC,"Houston, TX",281-259-8989,Not verified,https://rapidwastesolutionsoftexas.godaddysites.com,roll-off,Not verified,Not verified,59,Medium,35,7,5,12,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
85,Sunbelt Industrial Services,"Denton, TX",972-492-5108,Not verified,https://sun-belt.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
86,Univar Solutions USA LLC,"Denton, TX",972-840-6902,Not verified,https://locator.wastebits.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
87,US Ecology Transportation Solutions,"Denton, TX",734-521-8104,Not verified,https://locator.wastebits.com,recycling,Not verified,Not verified,59,Medium,35,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
88,"BJS Services, Inc","Denton, TX",972-412-5897,kayleigh@bjsservicesinc.com,https://www.bjs-services-inc.com,Denton permitted waste hauler,septic,Not verified,57,Medium,30,7,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
89,Okon Metals Inc.,"Garland, TX | Plano, TX",214-426-6566,info@scrapmonster.com,https://www.scrapmonster.com,residential; recycling,Not verified,Not verified,55,High,30,3,5,17,City of Garland — Approved Franchise Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://www.garlandtx.gov/3771/Approved-Hauler-List,
90,Waste Advantage,"Plano, TX | Weatherford, TX",817-478-1288,dispatch@wasteadvantagetx.com,https://wasteadvantagetx.com,roll-off; commercial; recycling,Not verified,Not verified,55,High,30,3,5,17,City of Plano — C&D Permitted Haulers | City of Plano — General Permitted Haulers | City of Weatherford — Approved Commercial Waste Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800 | https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,
91,Texas Disposal Systems,"Austin, TX | Houston, TX | New Braunfels, TX",800-375-8375,Not verified,https://www.texasdisposal.com/,"Austin URO licensed private hauler | Commercial Recycling, Construction, Yard Debris | commercial solid waste franchise; reverify current status",Not verified,Not verified,55,Medium,30,3,5,17,City of Austin — URO Licensed Haulers | City of Houston — Franchised Commercial Solid Waste Haulers | City of New Braunfels — Permitted Private Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers | https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf | https://www.newbraunfels.gov/4032/Community-Resources,https://www.texasdisposal.com/
92,No. Valicor Environmental Services,"Denton, TX",972-225-6500,Not verified,https://www.valicor.com,residential; recycling,septic,Not verified,54,Medium,30,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
93,Sunbelt Disposal& Recycling,"Plano, TX",214-217-0335,Not verified,https://sunbeltdisposal.com,roll-off; residential; commercial; recycling,portable toilet,Not verified,54,Medium,30,7,5,12,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,
94,"Versatile Industries V, Inc.","Plano, TX",432-212-7898,Not verified,https://versatilev.com,roll-off; commercial; recycling,portable toilet,Not verified,54,Medium,30,7,5,12,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,
95,Waste Connections d/b/a Rhino Removal,"Plano, TX",972-996-5550,Not verified,https://www.rhinoremoval.com,roll-off; residential; commercial; recycling,portable toilet,Not verified,54,Medium,30,7,5,12,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
96,Pinkston Wastewater,"Denton, TX",940-383-1112,Not verified,https://septic-tanks-installation-and-repair-services.cmac.ws,Denton permitted waste hauler,septic,Not verified,54,Medium,30,7,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
97,Aco Waste Solution,"Houston, TX",254-652-4024,info@wacowastesolutions.com,https://www.wacowastesolutions.com,roll-off; residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
98,Bin There Dump That Dallas-Metro,"Plano, TX",214-918-8446,info@bintheredumpthat.com,https://www.bintheredumpthat.com,roll-off; residential; commercial,Not verified,Not verified,53,High,30,3,5,15,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
99,Commercial Metal,"Plano, TX",214-689-3500,info@greenmetalrecycles.com,https://greenmetalrecycles.com,roll-off; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
100,Dallas Recycling,"Denton, TX",214-634-1831,info@recyclerevolutiondallas.com,https://recyclerevolutiondallas.com,residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
101,EnviroServe Inc,"Denton, TX",817-483-8181,service-requests@enviroserve.com,https://enviroserve.com,commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
102,"MC3 Metal, LLC","Plano, TX",214-417-3464,info@mc3metals.com,https://mc3metals.com,roll-off; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
103,MGM Waste,"Houston, TX",713-731-0204,info@mgmwaste.com,https://mgmwaste.com,roll-off; commercial,Not verified,Not verified,53,High,30,3,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
104,"Northstar Environmental Group, Inc.","Denton, TX",615-451-4867,northstarwmjunk@gmail.com,https://www.northstarjunkdfw.com,residential; commercial,Not verified,Not verified,53,High,30,3,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
105,Recycle Revolution,"Plano, TX",214-566-3025,info@recyclerevolutiondallas.com,https://recyclerevolutiondallas.com,residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
106,Renegade Roll-offs and Hauling DBA Envirohauling Services,"Denton, TX",817-368-4210,Rebecca@envirohauling.com,https://envirohauling.com,roll-off; residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
107,Trash Junky,"Garland, TX",214-507-5865,info@junknorthdfw.com,https://www.junknorthdfw.com,roll-off; residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
108,Waste Advantage LLC / Empire Disposal,"Garland, TX",817-478-1288,dispatch@wasteadvantagetx.com,https://wasteadvantagetx.com,roll-off; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
109,Waste Partners of Texas,"Houston, TX",218-587-8727,Info@wastepartnersinc.com,https://wastepartnersinc.com,roll-off; residential; commercial; recycling,Not verified,Not verified,53,High,30,3,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
110,Excell Disposal Waste Containers,"Houston, TX",813-644-3940,carriers@lanefinder.com,https://loadguard.ai,commercial solid waste franchise; reverify current status,Not verified,Not verified,53,Medium,30,3,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
111,Garcia Waste Services LLC,"Denton, TX",214-704-4599,garciawasteservices@gmail.com,https://garciawasteservices.com,Denton permitted waste hauler,Not verified,Not verified,53,Medium,30,3,5,15,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
112,"Waste Masters of Texas, LLC","Houston, TX",Not verified,Sales@wastemasterstx.com,https://wastemasterstx.com,roll-off; residential; commercial; recycling,portable toilet,Not verified,53,Medium,30,7,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
113,Apache Disposal Inc,"New Braunfels, TX",830-914-3900,Not verified,http://apachedisposal.com/,"Construction, Yard Debris, Roll-Off",Not verified,Not verified,53,Medium,30,3,5,15,City of New Braunfels — Permitted Private Haulers,https://www.newbraunfels.gov/4032/Community-Resources,http://apachedisposal.com/
114,BCS Curb Appeal,"College Station, TX",979-777-6795,Not verified,http://www.curbappealmaintenance.com/,commercial recycling / hauling,Not verified,Not verified,53,Medium,30,3,5,15,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.centennialarts.com/ | https://www.centennialarts.com/terms-of-services/ | https://www.centennialarts.com/about-us/ | https://www.centennialarts.com/contact-us/
115,Cheng International Enterprises Inc.dba Budget Waste,"Houston, TX",Not verified,311@houstontx.gov,Not verified,recycling,Not verified,Not verified,53,Medium,35,7,5,6,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
116,"Fill N Go Waste, LLC","Plano, TX",833-345-5646,Not verified,http://www.fillngowasteco.com/,construction & demolition recycling,Not verified,Not verified,53,Medium,30,3,5,15,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,http://www.fillngowasteco.com/
117,JOTS Rentals,"Garland, TX",903-236-4019,info@jotsrentals.com,https://jotsrentals.com,roll-off; commercial,portable toilet,Not verified,52,High,25,7,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
118,Republic Services,"New Braunfels, TX | Plano, TX",210-304-2700,Not verified,https://www.republicservices.com,roll-off; residential; recycling,Not verified,Not verified,52,Medium,30,3,5,14,City of New Braunfels — Permitted Private Haulers | City of Plano — C&D Permitted Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800 | https://www.newbraunfels.gov/4032/Community-Resources,
119,Joe's Organics,"Austin, TX",Not verified,kasey@joesorganics.com,http://joesorganics.com/,Austin URO licensed private hauler,Not verified,Not verified,52,Medium,30,3,5,14,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://joesorganics.com/
120,Alamo Disposal,"New Braunfels, TX",210-998-1718,Not verified,https://alamodisposal.com,roll-off; residential; commercial,Not verified,Not verified,50,Medium,30,3,5,12,City of New Braunfels — Permitted Private Haulers,https://www.newbraunfels.gov/4032/Community-Resources,
121,"Capital Dumpster Services, LLC","Plano, TX",469-445-6577,Not verified,https://www.capitalwaste.com,roll-off; commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800,
122,"Clean Earth Specialty Waste Solutions, Inc.","Denton, TX",770-891-2531,Not verified,https://www.cleanearthinc.com,commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
123,Five Star Waste & Recycling,"Garland, TX",214-920-1600,Not verified,https://fivestarwasteandrecycling.com,residential; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
124,"Hazmat Environmental Services, Inc.","Denton, TX",972-243-1210,Not verified,https://www.usahazmat.com,roll-off; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
125,RS Waste Services dba Reststop Portable Toilets,"Houston, TX",281-587-1111,Not verified,http://houston.businesslistus.com,residential; commercial,Not verified,Not verified,50,Medium,30,3,5,12,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
126,"Sharps Environmental Services, Inc","Denton, TX",713-660-3544,Not verified,https://www.sharpsinc.com,residential; commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
127,Steel Waste Inc,"Houston, TX",214-426-6566,Not verified,https://www.okonrecycling.com,roll-off; commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
128,Tradebe Transportation LLC,"Denton, TX",219-808-7567,Not verified,https://www.tradebe.com,commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
129,Triumvirate Environmental Services LLC,"Denton, TX",562-906-2633,Not verified,https://www.triumvirate.com,residential; commercial; recycling,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
